Identifiant station;Nom de la Station;Nom de la ligne;Niveau de pollution;Recommandation de surveillance;stop_lon;stop_lat;pollution_air
IDFM:monomodalStopPlace:43159;Marolles-en-Hurepoix;RER C;station aérienne;non;2.2909083492519;48.5656445355026;station aérienne
IDFM:monomodalStopPlace:47940;Massy - Verrières;RER B;station aérienne;non;2.27397877905532;48.7349579552114;station aérienne
IDFM:monomodalStopPlace:47909;Melun;RER D;station aérienne;non;2.65469836071817;48.5274912772483;station aérienne
IDFM:22116;Ménilmontant;Métro 2;MOYENNE;non;2.38353966877949;48.8664401667817;pollution moyenne - incertitude forte
IDFM:463226;Michel Bizot;Métro 8;FAIBLE;non;2.402366739988;48.8370774310358;pollution faible - incertitude forte
IDFM:462957;Miromesnil;Métro 9;MOYENNE;non;2.31467682382427;48.8736921019791;pollution moyenne - incertitude forte
IDFM:463240;Monceau;Métro 2;MOYENNE;non;2.3094129673747;48.8805687701268;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:43166;Montigny - Beauchamp;RER C;station aérienne;non;2.1965151756043;49.007744118117;station aérienne
IDFM:22143;Montparnasse Bienvenue;Métro 4;FAIBLE;non;2.32432946077911;48.8438525145258;pollution faible - incertitude forte
IDFM:monomodalStopPlace:43171;Nanterre Ville;RER A;station aérienne;non;2.19511769490499;48.8950197261606;station aérienne
IDFM:monomodalStopPlace:415093;Neuilly Porte Maillot;RER C;MOYENNE;non;2.28421750961371;48.8783478040486;pollution moyenne - incertitude faible
IDFM:22051;Notre-Dame des Champs;Métro 12;FAIBLE;non;2.32856494422794;48.8450815080755;pollution faible - incertitude forte
IDFM:21925;Oberkampf;Métro 9;ELEVE;oui;2.36815584539455;48.8647770985213;pollution élevée - incertitude forte
IDFM:22145;Odéon;Métro 4;FAIBLE;non;2.3394860203179;48.8521033403809;pollution faible - incertitude forte
IDFM:monomodalStopPlace:43176;Pantin;RER E;station aérienne;non;2.40104145428709;48.8979874523004;station aérienne
IDFM:22165;Passy;Métro 6;station aérienne;non;2.28583941888146;48.8575150896203;station aérienne
IDFM:22112;Père Lachaise;Métro 2;ELEVE;oui;2.38768932606569;48.8624863786267;pollution élevée - incertitude forte
IDFM:463228;Pereire;Métro 3;MOYENNE;non;2.29770112383818;48.8849298646372;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:43179;Pierrefitte - Stains;RER D;station aérienne;non;2.37033142847677;48.962776285551;station aérienne
IDFM:22366;Place Monge;Métro 7;MOYENNE;non;2.35215486857877;48.8426663856429;pollution moyenne - incertitude forte
IDFM:463057;Pointe du Lac;Métro 8;station aérienne;non;2.46431731272204;48.7687613643443;station aérienne
IDFM:480286;Pont Cardinet;Métro 14;MOYENNE;non;2.315190864885;48.8881023898884;pollution moyenne - incertitude forte
IDFM:463233;Pont de Sèvres;Métro 9;MOYENNE;non;2.23050521708855;48.8296691907461;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:44500;Port Royal;RER B;FAIBLE;non;2.33713839959445;48.8400643502183;pollution faible - incertitude faible
IDFM:463278;Porte de Clichy;Métro 13;MOYENNE;non;2.31320835075881;48.8944312880175;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:44514;Porte de Clichy;RER C;MOYENNE;non;2.31594115355147;48.8942625683096;pollution moyenne - incertitude faible
IDFM:463262;Porte des Lilas;Métro 3B;MOYENNE;non;2.4069512666209;48.8766399970349;pollution moyenne - incertitude forte
IDFM:462968;Rennes;Métro 12;MOYENNE;non;2.32802068556793;48.848190243114;pollution moyenne - incertitude forte
IDFM:22098;Reuilly - Diderot;Métro 8;MOYENNE;non;2.38720107040939;48.847212926698;pollution moyenne - incertitude forte
IDFM:22196;Richelieu - Drouot;Métro 8;MOYENNE;non;2.3384190255428;48.8717392091026;pollution moyenne - incertitude forte
IDFM:490793;Rosny-Bois-Perrier;Métro 11;pas de données;non;2.48060980080859;48.8830256794257;pas de données
IDFM:22025;Rue Saint-Maur;Métro 3;MOYENNE;non;2.38048633225181;48.8641310802033;pollution moyenne - incertitude forte
